,Mean,Variance,Up,Class
0,10000.0,0.0,0.697985,droneA
1,10000.0,0.0,0.702015,droneA
2,10000.0,0.0,0.69521,droneA
3,10000.0,0.0,0.75479,droneA
4,10000.0,0.0,0.59656,droneA
5,10000.0,0.0,0.501405,droneA
6,10000.0,0.0,0.702035,droneA
7,10000.0,0.0,0.64877,droneA
8,10000.0,0.0,0.70017,droneA
9,10000.0,0.0,0.79141,droneA
10,10000.0,0.0,0.80121,droneA
11,10000.0,0.0,0.75485,droneA
12,10000.0,0.0,0.691985,droneA
13,10000.0,0.0,0.74545,droneA
14,10000.0,0.0,0.80321,droneA
15,10000.0,0.0,0.653965,droneA
16,10000.0,0.0,0.802075,droneA
17,10000.0,0.0,0.740145,droneA
18,10000.0,0.0,0.65286,droneA
19,10000.0,0.0,0.69642,droneA
20,10000.0,0.0,0.76748,droneA
21,10000.0,0.0,0.58733,droneA
22,10000.0,0.0,0.76267,droneA
23,10000.0,0.0,0.687395,droneA
24,10000.0,0.0,0.75025,droneA
25,3971.4285714285716,3742040.8163265307,0.709475,droneB
26,3756.7567567567567,4400292.1840759665,0.709145,droneB
27,3486.4864864864867,3763330.898466034,0.65638,droneB
28,3500.0,4150000.0,0.7,droneB
29,3555.5555555555557,3469135.8024691357,0.669455,droneB
30,3666.6666666666665,3965811.9658119665,0.729495,droneB
31,3682.9268292682927,4216537.775133848,0.77105,droneB
32,3685.714285714286,4101224.489795918,0.65655,droneB
33,3702.7027027027025,4154857.560262965,0.68845,droneB
34,3473.684210526316,4301939.058171745,0.66,droneB
35,3631.5789473684213,4022160.6648199433,0.69,droneB
36,3969.6969696969695,3908172.635445363,0.6757,droneB
37,3634.1463414634145,3597858.4176085666,0.79409,droneB
38,3486.4864864864867,3979547.1146822497,0.653185,droneB
39,3432.4324324324325,3704894.083272462,0.642025,droneB
40,3702.7027027027025,3938641.344046749,0.70405,droneB
41,3944.4444444444443,3663580.2469135793,0.724035,droneB
42,3648.6486486486488,4119795.4711468234,0.691915,droneB
43,3750.0,4337500.0,0.755995,droneB
44,3516.1290322580644,3862643.0801248704,0.56446,droneB
45,3486.4864864864867,3763330.8984660343,0.659545,droneB
46,3761.904761904762,3990929.7052154187,0.802975,droneB
47,3647.0588235294117,3698961.937716263,0.65797,droneB
48,3571.4285714285716,4244897.959183673,0.644055,droneB
49,3722.222222222222,4033950.61728395,0.685,droneB
50,6844.461538461538,14169800.094674557,0.46944,random-signal
51,6055.928571428572,18280189.49489796,0.458975,random-signal
52,8127.0,14350858.0,0.528255,random-signal
53,7543.928571428572,24908397.78061225,0.573735,random-signal
54,7941.615384615385,21240154.69822485,0.53371,random-signal
55,9454.181818181818,19038016.33057851,0.576505,random-signal
56,6630.7692307692305,19175373.408284023,0.51979,random-signal
57,5965.166666666667,12564149.972222224,0.36966,random-signal
58,5655.857142857143,16845610.122448977,0.474435,random-signal
59,7086.076923076923,16904748.686390534,0.55391,random-signal
60,5832.428571428572,13122831.102040816,0.44938,random-signal
61,9066.25,6174594.6875,0.59837,random-signal
62,8456.5,20075743.75,0.552755,random-signal
63,6052.461538461538,20751558.24852071,0.43614,random-signal
64,7792.846153846154,17671288.28402367,0.5607,random-signal
65,8003.846153846154,12573290.284023669,0.52025,random-signal
66,7485.2307692307695,21684184.485207103,0.48654,random-signal
67,8325.0,20973868.57142857,0.58275,random-signal
68,8457.916666666666,20305452.076388888,0.51581,random-signal
69,9697.363636363636,9867164.049586779,0.59947,random-signal
70,6274.266666666666,23966500.195555553,0.49214,random-signal
71,6537.285714285715,17387518.346938774,0.45761,random-signal
72,6496.0625,25094149.30859375,0.519685,random-signal
73,5456.6,15855109.839999998,0.409245,random-signal
74,6803.285714285715,19603015.06122449,0.50958,random-signal
75,2539.6825396825398,248425.2960443437,0.80689,wifi
76,2400.0,240000.0,0.79776,wifi
77,2476.923076923077,249467.45562130178,0.806715,wifi
78,2507.936507936508,249937.01184177375,0.805955,wifi
79,2415.3846153846152,242840.2366863905,0.79268,wifi
80,2484.375,249755.859375,0.799465,wifi
81,2453.125,247802.734375,0.799555,wifi
82,2492.063492063492,249937.01184177375,0.80027,wifi
83,2532.2580645161293,248959.4172736733,0.799915,wifi
84,2492.063492063492,249937.0118417737,0.79208,wifi
85,2616.6666666666665,236388.88888888888,0.80808,wifi
86,2555.5555555555557,246913.58024691348,0.809735,wifi
87,2453.125,247802.734375,0.7959,wifi
88,2453.125,247802.734375,0.79626,wifi
89,2484.375,249755.859375,0.79874,wifi
90,2468.75,249023.4375,0.79012,wifi
91,2460.3174603174602,248425.2960443437,0.80478,wifi
92,2484.375,249755.859375,0.7951,wifi
93,2476.190476190476,249433.1065759637,0.794065,wifi
94,2516.1290322580644,249739.85431841828,0.794445,wifi
95,2523.809523809524,249433.10657596367,0.796535,wifi
96,2516.1290322580644,249739.85431841828,0.794955,wifi
97,2484.375,249755.859375,0.80103,wifi
98,2393.939393939394,238751.14784205693,0.7958,wifi
99,2507.936507936508,249937.01184177372,0.79817,wifi
